vehicle_id,v_out_of_service,v_maintenance,device_id,transmitting_dur,not_transmitting_dur,transmission_level,report_start_at,updated_at
47,0,0,3098,0,86400,2,2023-03-28 22:00:00,2023-03-29 22:18:02.898747
12,0,0,2457,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
15,0,0,2440,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
18,0,0,2707,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
20,0,0,2715,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
28,0,0,2616,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
30,0,0,2645,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
31,0,0,2716,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
32,0,0,2702,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
34,0,0,2705,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
36,0,0,2464,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
43,0,0,2611,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
45,0,0,2634,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
50,0,0,2632,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
55,0,0,2466,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
56,0,0,2689,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
58,0,0,2454,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
60,0,0,2732,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
61,0,0,2701,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
63,0,0,2690,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
64,0,0,2459,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
